TEXT	A1	A2	GOLD
Giunti sul pianerottolo, i due fratelli s'avvicinarono all'uscio della stanza, ch'era di fianco alla scala; gli sposi si strinsero al muro.	NEUTRAL	NEUTRAL	ANTICIPATION
«Deo gratias,» disse Tonio, a voce chiara.	NEUTRAL	NEUTRAL	NEUTRAL
«Tonio, eh?	NEUTRAL,TRUST	NEUTRAL	NEUTRAL
Entrate,» rispose la voce di dentro.	NEUTRAL	NEUTRAL	NEUTRAL
Il chiamato aprì l'uscio, appena quanto bastava per poter passar lui e il fratello, a un per volta.	NEUTRAL	NEUTRAL	NEUTRAL
La striscia di luce, che uscì d'improvviso per quella apertura, e si disegnò sul pavimento oscuro del pianerottolo, fece riscoter Lucia, come se fosse scoperta.	FEAR	FEAR	FEAR
Entrati i fratelli, Tonio si tirò dietro l'uscio: gli sposi rimasero immobili nelle tenebre, con l'orecchie tese, tenendo il fiato: il rumore più forte era il martellar che faceva il povero cuore di Lucia.	ANTICIPATION,FEAR	ANTICIPATION,FEAR	ANTICIPATION,FEAR
Don Abbondio stava, come abbiam detto, sur una vecchia seggiola, ravvolto in una vecchia zimarra, con in capo una vecchia papalina, che gli faceva cornice intorno alla faccia, al lume scarso d'una piccola lucerna.	NEUTRAL	NEUTRAL	NEUTRAL
Due folte ciocche di capelli, che gli scappavano fuor della papalina, due folti sopraccigli, due folti baffi, un folto pizzo, tutti canuti, e sparsi su quella faccia bruna e rugosa, potevano assomigliarsi a cespugli coperti di neve, sporgenti da un dirupo, al chiaro di luna.	NEUTRAL	NEUTRAL	NEUTRAL
«Ah! ah!» fu il suo saluto, mentre si levava gli occhiali, e li riponeva nel libricciolo.	ANGER,NEUTRAL	SURPRISE	ANGER
«Dirà il signor curato, che son venuto tardi,» disse Tonio, inchinandosi, come pure fece, ma più goffamente, Gervaso.	NEUTRAL	NEUTRAL	NEUTRAL
«Sicuro ch'è tardi: tardi in tutte le maniere.	ANGER	ANGER	ANGER
Lo sapete, che sono ammalato?»	ANGER,SADNESS	ANGER	ANGER
«Oh! mi dispiace.»	SADNESS	SADNESS	SADNESS
«L'avrete sentito dire; sono ammalato, e non so quando potrò lasciarmi vedere…	SADNESS	SADNESS	SADNESS
Ma perché vi siete condotto dietro quel… quel figliuolo?»	DISGUST,SURPRISE	SURPRISE	DISGUST,SURPRISE
«Così per compagnia, signor curato.»	NEUTRAL	NEUTRAL	NEUTRAL
«Basta, vediamo.»	ANGER,DISGUST	NEUTRAL	ANGER
«Son venticinque berlinghe nuove, di quelle col sant'Ambrogio a cavallo,» disse Tonio, levandosi un involtino di tasca.	NEUTRAL	NEUTRAL	NEUTRAL
«Vediamo,» replicò don Abbondio: e, preso l'involtino, si rimesse gli occhiali, l'aprì, cavò le berlinghe, le contò, le voltò, le rivoltò, le trovò senza difetto.	NEUTRAL	NEUTRAL	NEUTRAL
«Ora, signor curato, mi darà la collana della mia Tecla.»	NEUTRAL	ANTICIPATION	ANTICIPATION
«È giusto,» rispose don Abbondio; poi andò a un armadio, si levò una chiave di tasca, e, guardandosi intorno, come per tener lontani gli spettatori, aprì una parte di sportello, riempì l'apertura con la persona, mise dentro la testa, per guardare, e un braccio, per prender la collana; la prese, e, chiuso l'armadio, la consegnò a Tonio, dicendo: «va bene?»	ANTICIPATION,NEUTRAL	NEUTRAL	NEUTRAL
«Ora,» disse Tonio, «si contenti di mettere un po' di nero sul bianco.»	NEUTRAL	NEUTRAL	NEUTRAL
«Anche questa!» disse don Abbondio: «le sanno tutte.	ANGER,DISGUST,SURPRISE	SURPRISE	ANGER,SURPRISE
Ih! com'è divenuto sospettoso il mondo!	ANGER	ANGER	ANGER
Non vi fidate di me?»	ANGER,SURPRISE	ANGER	ANGER,SURPRISE
«Come, signor curato! s'io mi fido?	TRUST	TRUST	TRUST
Lei mi fa torto.	SADNESS	SADNESS	SADNESS
Ma siccome il mio nome è sul suo libraccio, dalla parte del debito… dunque, giacché ha già avuto l'incomodo di scrivere una volta, così… dalla vita alla morte…»	FEAR	NEUTRAL	FEAR
«Bene bene,» interruppe don Abbondio, e brontolando, tirò a sé una cassetta del tavolino, levò fuori carta, penna e calamaio, e si mise a scrivere, ripetendo a viva voce le parole, di mano in mano che gli uscivan dalla penna.	ANGER,NEUTRAL	ANGER	ANGER,NEUTRAL
Frattanto Tonio e, a un suo cenno, Gervaso, si piantaron ritti davanti al tavolino, in maniera d'impedire allo scrivente la vista dell'uscio; e, come per ozio, andavano stropicciando, co' piedi, il pavimento, per dar segno a quei ch'erano fuori, d'entrare, e per confondere nello stesso tempo il rumore delle loro pedate.	NEUTRAL	NEUTRAL	NEUTRAL
Don Abbondio, immerso nella sua scrittura, non badava ad altro.	NEUTRAL	NEUTRAL	NEUTRAL
Allo stropiccìo de' quattro piedi, Renzo prese un braccio di Lucia, lo strinse, per darle coraggio, e si mosse, tirandosela dietro tutta tremante, che da sé non vi sarebbe potuta venire.	FEAR	FEAR	FEAR
Entraron pian piano, in punta di piedi, rattenendo il respiro; e si nascosero dietro i due fratelli.	FEAR,NEUTRAL	ANTICIPATION	ANTICIPATION
Intanto don Abbondio, finito di scrivere, rilesse attentamente, senza alzar gli occhi dalla carta; la piegò in quattro, dicendo: «ora, sarete contento?» e, levatosi con una mano gli occhiali dal naso, la porse con l'altra a Tonio, alzando il viso.	ANGER,NEUTRAL	NEUTRAL	NEUTRAL
Tonio, allungando la mano per prender la carta, si ritirò da una parte; Gervaso, a un suo cenno, dall'altra; e, nel mezzo, come al dividersi d'una scena, apparvero Renzo e Lucia.	NEUTRAL,SURPRISE	NEUTRAL	NEUTRAL
Don Abbondio, vide confusamente, poi vide chiaro, si spaventò, si stupì, s'infuriò, pensò, prese una risoluzione: tutto questo nel tempo che Renzo mise a proferire le parole: «signor curato, in presenza di questi testimoni, quest'è mia moglie.»	ANGER,FEAR,SURPRISE	ANGER,FEAR,SURPRISE	ANGER,FEAR,SURPRISE
Le sue labbra non erano ancora tornate al posto, che don Abbondio, lasciando cader la carta, aveva già afferrata e alzata, con la mancina, la lucerna, ghermito, con la diritta, il tappeto del tavolino, e tiratolo a sé, con furia, buttando in terra libro, carta, calamaio e polverino; e, balzando tra la seggiola e il tavolino, s'era avvicinato a Lucia.	ANGER	ANGER	ANGER
La poveretta, con quella sua voce soave, e allora tutta tremante, aveva appena potuto proferire: «e questo…» che don Abbondio le aveva buttato sgarbatamente il tappeto sulla testa e sul viso, per impedirle di pronunziare intera la formola.	ANGER,FEAR	FEAR	ANGER,FEAR
E subito, lasciata cader la lucerna che teneva nell'altra mano, s'aiutò anche con quella a imbacuccarla col tappeto, che quasi la soffogava; e intanto gridava quanto n'aveva in canna: «Perpetua!	ANGER,FEAR	ANGER	ANGER,FEAR
Perpetua! tradimento! aiuto!»	ANGER,FEAR	ANGER,FEAR	ANGER,FEAR
Il lucignolo, che moriva sul pavimento, mandava una luce languida e saltellante sopra Lucia, la quale, affatto smarrita, non tentava neppure di svolgersi, e poteva parere una statua abbozzata in creta, sulla quale l'artefice ha gettato un umido panno.	FEAR	FEAR	FEAR
Cessata ogni luce, don Abbondio lasciò la poveretta, e andò cercando a tastoni l'uscio che metteva a una stanza più interna; lo trovò, entrò in quella, si chiuse dentro, gridando tuttavia: «Perpetua! tradimento! aiuto! fuori di questa casa! fuori di questa casa!»	ANGER,FEAR	ANGER,FEAR	ANGER,FEAR
Nell'altra stanza, tutto era confusione: Renzo, cercando di fermare il curato, e remando con le mani, come se facesse a mosca cieca, era arrivato all'uscio, e picchiava, gridando: «apra, apra; non faccia schiamazzo».	FEAR	ANGER	ANGER,FEAR
Lucia chiamava Renzo, con voce fioca, e diceva, pregando: «andiamo, andiamo, per l'amor di Dio».	FEAR	FEAR	FEAR
Tonio, carpone, andava spazzando con le mani il pavimento, per veder di raccapezzare la sua ricevuta.	FEAR	FEAR	FEAR
Gervaso, spiritato, gridava e saltellava, cercando l'uscio di scala, per uscire a salvamento.	FEAR	FEAR	FEAR
In mezzo a questo serra serra, non possiam lasciar di fermarci un momento a fare una riflessione.	NEUTRAL	NEUTRAL	NEUTRAL
Renzo, che strepitava di notte in casa altrui, che vi s'era introdotto di soppiatto, e teneva il padrone stesso assediato in una stanza, ha tutta l'apparenza d'un oppressore; eppure, alla fin de' fatti, era l'oppresso.	NEUTRAL	NEUTRAL	NEUTRAL
Don Abbondio, sorpreso, messo in fuga, spaventato, mentre attendeva tranquillamente a' fatti suoi, parrebbe la vittima; eppure, in realtà, era lui che faceva un sopruso.	NEUTRAL	NEUTRAL	NEUTRAL
Così va spesso il mondo… voglio dire, così andava nel secolo decimo settimo.	SADNESS	SADNESS	SADNESS
L'assediato, vedendo che il nemico non dava segno di ritirarsi, aprì una finestra che guardava sulla piazza della chiesa, e si diede a gridare: «aiuto! aiuto!»	FEAR	FEAR	FEAR
Era il più bel chiaro di luna; l'ombra della chiesa, e più in fuori l'ombra lunga ed acuta del campanile, si stendeva bruna e spiccata sul piano erboso e lucente della piazza: ogni oggetto si poteva distinguere, quasi come di giorno.	NEUTRAL	NEUTRAL	NEUTRAL
Ma, fin dove arrivava lo sguardo, non appariva indizio di persona vivente.	NEUTRAL	NEUTRAL	NEUTRAL
Contiguo però al muro laterale della chiesa, e appunto dal lato che rispondeva verso la casa parrocchiale, era un piccolo abituro, un bugigattolo, dove dormiva il sagrestano.	NEUTRAL	NEUTRAL	NEUTRAL
Fu questo riscosso da quel disordinato grido, fece un salto, scese il letto in furia, aprì l'impannata d'una sua finestrina, mise fuori la testa, con gli occhi tra' peli, e disse: «cosa c'è?»	FEAR,SURPRISE	FEAR,SURPRISE	FEAR,SURPRISE
«Correte, Ambrogio! aiuto! gente in casa,» gridò verso lui don Abbondio.	FEAR	FEAR	FEAR
«Vengo subito,» rispose quello; tirò indietro la testa, richiuse la sua impannata, e, quantunque mezzo tra 'l sonno, e più che mezzo sbigottito, trovò su due piedi un espediente per dar più aiuto di quello che gli si chiedeva, senza mettersi lui nel tafferuglio, quale si fosse.	ANTICIPATION,NEUTRAL	ANTICIPATION	ANTICIPATION
Dà di piglio alle brache, che teneva sul letto; se le caccia sotto il braccio, come un cappello di gala, e giù balzelloni per una scaletta di legno; corre al campanile, afferra la corda della più grossa di due campanette che c'erano, e suona a martello.	NEUTRAL	FEAR	ANTICIPATION
Ton, ton, ton, ton: i contadini balzano a sedere sul letto; i giovinetti sdraiati sul fenile, tendon l'orecchio, si rizzano.	ANTICIPATION,SURPRISE	SURPRISE	ANTICIPATION,SURPRISE
«Cos'è?	SURPRISE	SURPRISE	SURPRISE
Cos'è?	SURPRISE	SURPRISE	SURPRISE
Campana a martello! fuoco? ladri? banditi?»	ANTICIPATION,FEAR,SURPRISE	FEAR,SURPRISE	FEAR,SURPRISE
Molte donne consigliano, pregano i mariti, di non moversi, di lasciar correre gli altri: alcuni s'alzano, e vanno alla finestra: i poltroni, come se si arrendessero alle preghiere, ritornan sotto: i più curiosi e più bravi scendono a prender le forche e gli schioppi, per correre al rumore: altri stanno a vedere.	ANTICIPATION,FEAR	ANTICIPATION,FEAR	ANTICIPATION,FEAR
Ma, prima che quelli fossero all'ordine, prima anzi che fosser ben desti, il rumore era giunto agli orecchi d'altre persone che vegliavano, non lontano, ritte e vestite: i bravi in un luogo, Agnese e Perpetua in un altro.	NEUTRAL	NEUTRAL	NEUTRAL
Diremo prima brevemente ciò che facesser coloro, dal momento in cui gli abbiamo lasciati, parte nel casolare e parte all'osteria.	NEUTRAL	NEUTRAL	NEUTRAL
Questi tre, quando videro tutti gli usci chiusi e la strada deserta, uscirono in fretta, come se si fossero avvisti d'aver fatto tardi, e dicendo di voler andar subito a casa; diedero una giravolta per il paese, per venire in chiaro se tutti eran ritirati; e in fatti, non incontrarono anima vivente, né sentirono il più piccolo strepito.	ANTICIPATION,NEUTRAL	NEUTRAL	ANTICIPATION,NEUTRAL
Passarono anche, pian piano, davanti alla nostra povera casetta: la più quieta di tutte, giacché non c'era più nessuno.	NEUTRAL	NEUTRAL	NEUTRAL
Andarono allora diviato al casolare, e fecero la loro relazione al signor Griso.	NEUTRAL	NEUTRAL	NEUTRAL
Subito, questo si mise in testa un cappellaccio, sulle spalle un sanrocchino di tela incerata, sparso di conchiglie; prese un bordone da pellegrino, disse: «andiamo da bravi: zitti, e attenti agli ordini», s'incamminò il primo, gli altri dietro; e, in un momento, arrivarono alla casetta, per una strada opposta a quella per cui se n'era allontanata la nostra brigatella, andando anch'essa alla sua spedizione.	NEUTRAL	NEUTRAL	NEUTRAL
Il Griso trattenne la truppa, alcuni passi lontano, andò innanzi solo ad esplorare, e, visto tutto deserto e tranquillo di fuori, fece venire avanti due di quei tristi, diede loro ordine di scalar adagino il muro che chiudeva il cortiletto, e, calati dentro, nascondersi in un angolo, dietro un folto fico, sul quale aveva messo l'occhio, la mattina.	NEUTRAL	NEUTRAL	NEUTRAL
Ciò fatto, picchiò pian piano, con intenzione di dirsi un pellegrino smarrito, che chiedeva ricovero, fino a giorno.	ANTICIPATION,NEUTRAL	NEUTRAL	NEUTRAL
Nessun risponde: ripicchia un po' più forte; nemmeno uno zitto.	ANTICIPATION,NEUTRAL	NEUTRAL	ANTICIPATION
Allora, va a chiamare un terzo malandrino, lo fa scendere nel cortiletto, come gli altri due, con l'ordine di sconficcare adagio il paletto, per aver libero l'ingresso e la ritirata.	NEUTRAL	NEUTRAL	NEUTRAL
Tutto s'eseguisce con gran cautela, e con prospero successo.	NEUTRAL,JOY	NEUTRAL,JOY	NEUTRAL,JOY
Va a chiamar gli altri, li fa entrar con sé, li manda a nascondersi accanto ai primi; accosta adagio adagio l'uscio di strada, vi posta due sentinelle di dentro; e va diritto all'uscio del terreno.	NEUTRAL	NEUTRAL	NEUTRAL
Picchia anche lì, e aspetta: e' poteva ben aspettare.	ANTICIPATION,NEUTRAL	NEUTRAL	ANTICIPATION
Sconficca pian pianissimo anche quell'uscio: nessuno di dentro dice: chi va là?; nessuno si fa sentire: meglio non può andare.	ANTICIPATION,JOY,NEUTRAL	NEUTRAL	ANTICIPATION,JOY
Avanti dunque: «st», chiama quei del fico, entra con loro nella stanza terrena, dove, la mattina, aveva scelleratamente accattato quel pezzo di pane.	NEUTRAL	NEUTRAL	NEUTRAL
Cava fuori esca, pietra, acciarino e zolfanelli, accende un suo lanternino, entra nell'altra stanza più interna, per accertarsi che nessun ci sia: non c'è nessuno.	ANTICIPATION,NEUTRAL	NEUTRAL	ANTICIPATION
Torna indietro, va all'uscio di scala, guarda, porge l'orecchio: solitudine e silenzio.	ANTICIPATION,NEUTRAL	NEUTRAL	ANTICIPATION
Lascia due altre sentinelle a terreno, si fa venir dietro il Grignapoco, ch'era un bravo del contado di Bergamo, il quale solo doveva minacciare, acchetare, comandare, essere in somma il dicitore, affinché il suo linguaggio potesse far credere ad Agnese che la spedizione veniva da quella parte.	NEUTRAL	NEUTRAL	NEUTRAL
Con costui al fianco, e gli altri dietro, il Griso sale adagio adagio, bestemmiando in cuor suo ogni scalino che scricchiolasse, ogni passo di que' mascalzoni che facesse rumore.	ANGER	ANGER	ANGER
Finalmente è in cima.	JOY	JOY	JOY
Qui giace la lepre.	NEUTRAL	NEUTRAL	NEUTRAL
Spinge mollemente l'uscio che mette alla prima stanza; l'uscio cede, si fa spiraglio: vi mette l'occhio; è buio: vi mette l'orecchio, per sentire se qualcheduno russa, fiata, brulica là dentro; niente.	ANTICIPATION,NEUTRAL	NEUTRAL	ANTICIPATION
Dunque avanti: si mette la lanterna davanti al viso, per vedere, senza esser veduto, spalanca l'uscio, vede un letto; addosso: il letto è fatto e spianato, con la rimboccatura arrovesciata, e composta sul capezzale.	SURPRISE,ANTICIPATION	NEUTRAL	ANTICIPATION
Si stringe nelle spalle, si volta alla compagnia, accenna loro che va a vedere nell'altra stanza, e che gli vengan dietro pian piano; entra, fa le stesse cerimonie, trova la stessa cosa.	SURPRISE,ANTICIPATION	NEUTRAL	ANTICIPATION
«Che diavolo è questo?» dice allora: «che qualche cane traditore abbia fatto la spia?»	ANGER	ANGER	ANGER
Si metton tutti, con men cautela, a guardare, a tastare per ogni canto, buttan sottosopra la casa.	ANGER,NEUTRAL	ANGER	ANGER
Mentre costoro sono in tali faccende, i due che fan la guardia all'uscio di strada, sentono un calpestìo di passini frettolosi, che s'avvicinano in fretta; s'immaginano che, chiunque sia, passerà diritto; stan quieti, e, a buon conto, si mettono all'erta.	ANTICIPATION,NEUTRAL	NEUTRAL	ANTICIPATION
In fatti, il calpestìo si ferma appunto all'uscio.	NEUTRAL	NEUTRAL	NEUTRAL
Era Menico che veniva di corsa, mandato dal padre Cristoforo ad avvisar le due donne che, per l'amor del cielo, scappassero subito di casa, e si rifugiassero al convento, perché… il perché lo sapete.	FEAR,NEUTRAL	FEAR	FEAR
Prende la maniglia del paletto, per picchiare, e se lo sente tentennare in mano, schiodato e sconficcato.	NEUTRAL,SURPRISE	NEUTRAL	SURPRISE
– Che è questo? – pensa; e spinge l'uscio con paura: quello s'apre.	FEAR,SURPRISE	FEAR,SURPRISE	FEAR,SURPRISE
Menico mette il piede dentro, in gran sospetto, e si sente a un punto acchiappar per le braccia, e due voci sommesse, a destra e a sinistra, che dicono, in tono minaccioso: «zitto! o sei morto».	ANGER,FEAR	ANGER,FEAR	ANGER,FEAR
Lui in vece caccia un urlo: uno di que' malandrini gli mette una mano alla bocca; l'altro tira fuori un coltellaccio, per fargli paura.	ANGER,FEAR	FEAR	ANGER,FEAR
Il garzoncello trema come una foglia, e non tenta neppur di gridare; ma, tutt'a un tratto, in vece di lui, e con ben altro tono, si fa sentir quel primo tocco di campana così fatto, e dietro una tempesta di rintocchi in fila.	FEAR,SURPRISE	FEAR	FEAR,SURPRISE
Chi è in difetto è in sospetto, dice il proverbio milanese: all'uno e all'altro furfante parve di sentire in que' tocchi il suo nome, cognome e soprannome: lasciano andar le braccia di Menico, ritirano le loro in furia, spalancan la mano e la bocca, si guardano in viso, e corrono alla casa, dov'era il grosso della compagnia.	FEAR	FEAR	FEAR
Menico, via a gambe per la strada, alla volta del campanile, dove a buon conto qualcheduno ci doveva essere.	FEAR,NEUTRAL	FEAR	FEAR
Agli altri furfanti che frugavan la casa, dall'alto al basso, il terribile tocco fece la stessa impressione: si confondono, si scompigliano, s'urtano a vicenda: ognuno cerca la strada più corta, per arrivare all'uscio.	FEAR	FEAR,SURPRISE	FEAR,SURPRISE
Eppure era tutta gente provata e avvezza a mostrare il viso: ma non poterono star saldi contro un pericolo indeterminato, e che non s'era fatto vedere un po' da lontano, prima di venir loro addosso.	FEAR,NEUTRAL	FEAR	FEAR
Ci volle tutta la superiorità del Griso a tenerli insieme, tanto che fosse ritirata e non fuga.	NEUTRAL	NEUTRAL	NEUTRAL
Come il cane che scorta una mandra di porci, corre or qua or là a quei che si sbandano; ne addenta uno per un orecchio, e lo tira in ischiera; ne spinge un altro col muso; abbaia a un altro che esce di fila in quel momento; così il pellegrino acciuffa un di coloro, che già toccava la soglia, e lo strappa indietro; caccia indietro col bordone uno e un altro che s'avviavan da quella parte: grida agli altri che corron qua e là, senza saper dove; tanto che li raccozzò tutti nel mezzo del cortiletto.	ANGER,NEUTRAL	FEAR	ANGER,FEAR
«Presto, presto! pistole in mano, coltelli in pronto, tutti insieme; e poi anderemo: così si va.	ANGER,NEUTRAL	ANGER	ANTICIPATION
Chi volete che ci tocchi, se stiam ben insieme, sciocconi?	ANGER	ANGER	ANGER
Ma, se ci lasciamo acchiappare a uno a uno, anche i villani ce ne daranno.	ANGER,NEUTRAL	FEAR	ANGER
Vergogna!	ANGER	ANGER	ANGER
Dietro a me, e uniti.»	NEUTRAL	NEUTRAL	NEUTRAL
Dopo questa breve aringa, si mise alla fronte, e uscì il primo.	NEUTRAL	NEUTRAL	NEUTRAL
La casa, come abbiam detto, era in fondo al villaggio; il Griso prese la strada che metteva fuori, e tutti gli andaron dietro in buon ordine.	NEUTRAL	NEUTRAL	NEUTRAL
Lasciamoli andare, e torniamo un passo indietro a prendere Agnese e Perpetua, che abbiam lasciate in una certa stradetta.	NEUTRAL	NEUTRAL	NEUTRAL
Agnese aveva procurato d'allontanar l'altra dalla casa di don Abbondio, il più che fosse possibile; e, fino a un certo punto, la cosa era andata bene.	JOY,NEUTRAL	NEUTRAL	JOY,NEUTRAL
Ma tutt'a un tratto, la serva s'era ricordata dell'uscio rimasto aperto, e aveva voluto tornare indietro.	NEUTRAL	NEUTRAL	NEUTRAL
Non c'era che ridire: Agnese, per non farle nascere qualche sospetto, aveva dovuto voltar con lei, e andarle dietro, cercando però di trattenerla, ogni volta che la vedesse riscaldata ben bene nel racconto di que' tali matrimoni andati a monte.	ANTICIPATION,NEUTRAL	NEUTRAL	ANTICIPATION,NEUTRAL
Mostrava di darle molta udienza, e, ogni tanto, per far vedere che stava attenta, o per ravviare il cicalìo, diceva: «sicuro: adesso capisco: va benissimo: è chiara: e poi? e lui? e voi?»	NEUTRAL,TRUST	TRUST	TRUST
Ma intanto, faceva un altro discorso con sé stessa.	NEUTRAL	NEUTRAL	NEUTRAL
– Saranno usciti a quest'ora? o saranno ancor dentro?	ANTICIPATION,NEUTRAL	ANTICIPATION	ANTICIPATION
Che sciocchi che siamo stati tutt'e tre, a non concertar qualche segnale, per avvisarmi, quando la cosa fosse riuscita!	ANGER	ANGER	ANGER
È stata proprio grossa!	ANGER	ANGER	ANGER
Ma è fatta: ora non c'è altro che tener costei a bada, più che posso: alla peggio, sarà un po' di tempo perduto. –	NEUTRAL	NEUTRAL	NEUTRAL
Così, a corserelle e a fermatine, eran tornate poco distante dalla casa di don Abbondio, la quale però non vedevano, per ragione di quella cantonata: e Perpetua, trovandosi a un punto importante del racconto, s'era lasciata fermare senza far resistenza, anzi senza avvedersene; quando, tutt'a un tratto, si sentì venir rimbombando dall'alto, nel vano immoto dell'aria, per l'ampio silenzio della notte, quel primo sgangherato grido di don Abbondio: «aiuto! aiuto!»	FEAR,NEUTRAL,SURPRISE	FEAR,NEUTRAL,SURPRISE	FEAR,NEUTRAL,SURPRISE
«Misericordia! cos'è stato?» gridò Perpetua, e volle correre.	FEAR,SURPRISE	FEAR,SURPRISE	FEAR,SURPRISE
«Cosa c'è? cosa c'è?» disse Agnese, tenendola per la sottana.	ANTICIPATION,NEUTRAL	ANTICIPATION	ANTICIPATION
«Misericordia! non avete sentito?» replicò quella, svincolandosi.	FEAR,SURPRISE	FEAR,SURPRISE	FEAR,SURPRISE
