id	sentence	polarity	irony	chapter
1_11_11	Diceva tranquillamente il suo ufizio, e talvolta, tra un salmo e l'altro, chiudeva il breviario, tenendovi dentro, per segno, l'indice della mano destra, e, messa poi questa nell'altra dietro la schiena, proseguiva il suo cammino, guardando a terra, e buttando con un piede verso il muro i ciottoli che facevano inciampo nel sentiero: poi alzava il viso, e, girati oziosamente gli occhi all'intorno, li fissava alla parte d'un monte, dove la luce del sole già scomparso, scappando per i fessi del monte opposto, si dipingeva qua e là sui massi sporgenti, come a larghe e inuguali pezze di porpora.	POSITIVE	0	1
1_12_12	Aperto poi di nuovo il breviario, e recitato un altro squarcio, giunse a una voltata della stradetta, dov'era solito d'alzar sempre gli occhi dal libro, e di guardarsi dinanzi: e così fece anche quel giorno.	NEUTRAL	0	1
1_13_13	Dopo la voltata, la strada correva diritta, forse un sessanta passi, e poi si divideva in due viottole, a foggia d'un ipsilon: quella a destra saliva verso il monte, e menava alla cura: l'altra scendeva nella valle fino a un torrente; e da questa parte il muro non arrivava che all'anche del passeggiero.	NEUTRAL	0	1
1_14_14	I muri interni delle due viottole, in vece di riunirsi ad angolo, terminavano in un tabernacolo, sul quale eran dipinte certe figure lunghe, serpeggianti, che finivano in punta, e che, nell'intenzion dell'artista, e agli occhi degli abitanti del vicinato, volevan dir fiamme; e, alternate con le fiamme, cert'altre figure da non potersi descrivere, che volevan dire anime del purgatorio: anime e fiamme a color di mattone, sur un fondo bigiognolo, con qualche scalcinatura qua e là.	NEGATIVE	0	1
1_15_15	Il curato, voltata la stradetta, e dirizzando, com'era solito, lo sguardo al tabernacolo, vide una cosa che non s'aspettava, e che non avrebbe voluto vedere.	NEGATIVE	0	1
1_16_16	Due uomini stavano, l'uno dirimpetto all'altro, al confluente, per dir così, delle due viottole: un di costoro, a cavalcioni sul muricciolo basso, con una gamba spenzolata al di fuori, e l'altro piede posato sul terreno della strada; il compagno, in piedi, appoggiato al muro, con le braccia incrociate sul petto.	NEUTRAL	0	1
1_17_17	L'abito, il portamento, e quello che, dal luogo ov'era giunto il curato, si poteva distinguer dell'aspetto, non lasciavan dubbio intorno alla lor condizione.	NEUTRAL	0	1
1_18_18	Avevano entrambi intorno al capo una reticella verde, che cadeva sull'omero sinistro, terminata in una gran nappa, e dalla quale usciva sulla fronte un enorme ciuffo: due lunghi mustacchi arricciati in punta: una cintura lucida di cuoio, e a quella attaccate due pistole: un piccol corno ripieno di polvere, cascante sul petto, come una collana: un manico di coltellaccio che spuntava fuori d'un taschino degli ampi e gonfi calzoni, uno spadone, con una gran guardia traforata a lamine d'ottone, congegnate come in cifra, forbite e lucenti: a prima vista si davano a conoscere per individui della specie de' bravi.	NEUTRAL	0	1
1_19_19	Questa specie, ora del tutto perduta, era allora floridissima in Lombardia, e già molto antica.	NEUTRAL	0	1
1_20_20	Chi non ne avesse idea, ecco alcuni squarci autentici, che potranno darne una bastante de' suoi caratteri principali, degli sforzi fatti per ispegnerla, e della sua dura e rigogliosa vitalità.	NEUTRAL	0	1
1_21_21	Fino dall'otto aprile dell'anno 1583, l'Illustrissimo ed Eccellentissimo Signor Don Carlo d'Aragon, Principe di Castelvetrano, Duca di Terranuova, Marchese d'Avola, Conte di Burgeto, grande Ammiraglio, e gran Contestabile di Sicilia, Governatore di Milano e Capitan Generale di Sua Maestà Cattolica in Italia, pienamente informato della intollerabile miseria in che è vivuta e vive questa città di Milano, per cagione dei bravi e vagabondi, pubblica un bando contro di essi.	NEGATIVE	0	1
1_22_22	Dichiara e diffinisce tutti coloro essere compresi in questo bando, e doversi ritenere bravi e vagabondi… i quali, essendo forestieri o del paese, non hanno esercizio alcuno, od avendolo, non lo fanno… ma, senza salario, o pur con esso, s'appoggiano a qualche cavaliere o gentiluomo, officiale o mercante… per fargli spalle e favore, o veramente, come si può presumere, per tendere insidie ad altri…	NEGATIVE	0	1
1_23_23	A tutti costoro ordina che, nel termine di giorni sei, abbiano a sgomberare il paese, intima la galera a' renitenti, e dà a tutti gli ufiziali della giustizia le più stranamente ampie e indefinite facoltà, per l'esecuzione dell'ordine.	NEGATIVE	0	1
1_24_24	Ma, nell'anno seguente, il 12 aprile, scorgendo il detto signore, che questa Città è tuttavia piena di detti bravi… tornati a vivere come prima vivevano, non punto mutato il costume loro, né scemato il numero, dà fuori un'altra grida, ancor più vigorosa e notabile, nella quale, tra l'altre ordinazioni, prescrive: Che qualsivoglia persona, così di questa Città, come forestiera, che per due testimonj consterà esser tenuto, e comunemente riputato per bravo, et aver tal nome, ancorché non si verifichi aver fatto delitto alcuno… per questa sola riputazione di bravo, senza altri indizj, possa dai detti giudici e da ognuno di loro esser posto alla corda et al tormento, per processo informativo… et ancorché non confessi delitto alcuno, tuttavia sia mandato alla galea, per detto triennio, per la sola opinione e nome di bravo, come di sopra.	NEGATIVE	0	1
1_25_25	Tutto ciò, e il di più che si tralascia, perché Sua Eccellenza è risoluta di voler essere obbedita da ognuno.	NEUTRAL	0	1
1_26_26	All'udir parole d'un tanto signore, così gagliarde e sicure, e accompagnate da tali ordini, viene una gran voglia di credere che, al solo rimbombo di esse, tutti i bravi siano scomparsi per sempre.	MIXED	1	1
1_27_27	Ma la testimonianza d'un signore non meno autorevole, né meno dotato di nomi, ci obbliga a credere tutto il contrario.	NEGATIVE	0	1
1_28_28	È questi l'Illustrissimo ed Eccellentissimo Signor Juan Fernandez de Velasco, Contestabile di Castiglia, Cameriero maggiore di Sua Maestà, Duca della Città di Frias, Conte di Haro e Castelnovo, Signore della Casa di Velasco, e di quella delli sette Infanti di Lara, Governatore dello Stato di Milano, etc.	NEUTRAL	0	1
1_29_29	Il 5 giugno dell'anno 1593, pienamente informato anche lui di quanto danno e rovine sieno… i bravi e vagabondi, e del pessimo effetto che tal sorta di gente fa contra il ben pubblico, et in delusione della giustizia, intima loro di nuovo che, nel termine di giorni sei, abbiano a sbrattare il paese, ripetendo a un dipresso le prescrizioni e le minacce medesime del suo predecessore.	NEGATIVE	0	1
1_30_30	Il 23 maggio poi dell'anno 1598, informato, con non poco dispiacere dell'animo suo, che… ogni dì più in questa Città e Stato va crescendo il numero di questi tali (bravi e vagabondi), né di loro, giorno e notte, altro si sente che ferite appostatamente date, omicidii e ruberie et ogni altra qualità di delitti, ai quali si rendono più facili, confidati essi bravi d'essere aiutati dai capi e fautori loro,… prescrive di nuovo gli stessi rimedi, accrescendo la dose, come s'usa nelle malattie ostinate.	NEGATIVE	0	1
1_31_31	Ognuno dunque, conchiude poi, onninamente si guardi di contravvenire in parte alcuna alla grida presente, perché, in luogo di provare la clemenza di Sua Eccellenza, proverà il rigore, e l'ira sua… essendo risoluta e determinata che questa sia l'ultima e perentoria monizione.	NEGATIVE	0	1
1_32_32	Non fu però di questo parere l'Illustrissimo ed Eccellentissimo Signore, il Signor Don Pietro Enriquez de Acevedo, Conte di Fuentes, Capitano, e Governatore dello Stato di Milano; non fu di questo parere, e per buone ragioni.	POSITIVE	0	1
1_33_33	Pienamente informato della miseria in che vive questa Città e Stato per cagione del gran numero di bravi che in esso abbonda… e risoluto di totalmente estirpare seme tanto pernizioso, dà fuori, il 5 decembre 1600, una nuova grida piena anch'essa di severissime comminazioni, con fermo proponimento che con ogni rigore, e senza speranza di remissione, siano onninamente eseguite.	NEGATIVE	0	1
1_34_34	Convien credere però che non ci si mettesse con tutta quella buona voglia che sapeva impiegare nell'ordir cabale, e nel suscitar nemici al suo gran nemico Enrico IV; giacché, per questa parte, la storia attesta come riuscisse ad armare contro quel re il duca di Savoia, a cui fece perder più d'una città; come riuscisse a far congiurare il duca di Biron, a cui fece perder la testa; ma, per ciò che riguarda quel seme tanto pernizioso de' bravi, certo è che esso continuava a germogliare, il 22 settembre dell'anno 1612.	NEGATIVE	0	1
1_35_35	In quel giorno l'Illustrissimo ed Eccellentissimo Signore, il Signor Don Giovanni de Mendozza, Marchese de la Hynojosa, Gentiluomo etc. Governatore etc., pensò seriamente ad estirparlo.	NEGATIVE	0	1
1_36_36	A quest'effetto, spedì a Pandolfo e Marco Tullio Malatesti, stampatori regii camerali, la solita grida, corretta ed accresciuta, perché la stampassero ad esterminio de' bravi.	NEGATIVE	0	1
1_37_37	Ma questi vissero ancora per ricevere, il 24 decembre dell'anno 1618, gli stessi e più forti colpi dall'Illustrissimo ed Eccellentissimo Signore, il Signor don Gomez Suarez de Figueroa, Duca di Feria, etc. Governatore etc.	NEGATIVE	0	1
1_38_38	Però non essendo essi morti neppur di quelli, l'Illustrissimo ed Eccellentissimo Signore, il Signor Gonzalo Fernandez di Cordova, sotto il cui governo accadde la passeggiata di don Abbondio, s'era trovato costretto a ricorreggere e ripubblicare la solita grida contro i bravi, il giorno 5 ottobre del 1627, cioè un anno, un mese e due giorni prima di quel memorabile avvenimento.	MIXED	0	1
1_39_39	Né fu questa l'ultima pubblicazione; ma noi delle posteriori non crediamo dover far menzione, come di cosa che esce dal periodo della nostra storia.	NEUTRAL	0	1
1_40_40	Ne accenneremo soltanto una del 13 febbraio dell'anno 1632, nella quale l'Illustrissimo ed Eccellentissimo Signore, el Duque de Feria, per la seconda volta governatore, ci avvisa che le maggiori sceleraggini procedono da quelli che chiamano bravi.	NEGATIVE	0	1
1_41_41	Questo basta ad assicurarci che, nel tempo di cui noi trattiamo, c'era de' bravi tuttavia.	NEUTRAL	0	1
1_42_42	Che i due descritti di sopra stessero ivi ad aspettar qualcheduno, era cosa troppo evidente; ma quel che più dispiacque a don Abbondio fu il dover accorgersi, per certi atti, che l'aspettato era lui.	NEGATIVE	0	1
1_43_43	Perché, al suo apparire, coloro s'eran guardati in viso, alzando la testa, con un movimento dal quale si scorgeva che tutt'e due a un tratto avevan detto: è lui; quello che stava a cavalcioni s'era alzato, tirando la sua gamba sulla strada; l'altro s'era staccato dal muro; e tutt'e due gli s'avviavano incontro.	NEUTRAL	0	1
1_44_44	Egli, tenendosi sempre il breviario aperto dinanzi, come se leggesse, spingeva lo sguardo in su, per ispiar le mosse di coloro; e, vedendoseli venir proprio incontro, fu assalito a un tratto da mille pensieri.	NEGATIVE	0	1
1_45_45	Domandò subito in fretta a sé stesso, se, tra i bravi e lui, ci fosse qualche uscita di strada, a destra o a sinistra; e gli sovvenne subito di no.	NEGATIVE	0	1
1_46_46	Fece un rapido esame, se avesse peccato contro qualche potente, contro qualche vendicativo; ma, anche in quel turbamento, il testimonio consolante della coscienza lo rassicurava alquanto: i bravi però s'avvicinavano, guardandolo fisso.	MIXED	0	1
1_47_47	Mise l'indice e il medio della mano sinistra nel collare, come per raccomodarlo; e, girando le due dita intorno al collo, volgeva intanto la faccia all'indietro, torcendo insieme la bocca, e guardando con la coda dell'occhio, fin dove poteva, se qualcheduno arrivasse; ma non vide nessuno.	NEGATIVE	0	1
1_48_48	Diede un'occhiata, al di sopra del muricciolo, ne' campi: nessuno; un'altra più modesta sulla strada dinanzi; nessuno, fuorché i bravi.	NEGATIVE	0	1
1_49_49	Che fare? tornare indietro, non era a tempo: darla a gambe, era lo stesso che dire, inseguitemi, o peggio.	NEGATIVE	0	1
1_50_50	Non potendo schivare il pericolo, vi corse incontro, perché i momenti di quell'incertezza erano allora così penosi per lui, che non desiderava altro che d'abbreviarli.	NEGATIVE	0	1
1_51_51	Affrettò il passo, recitò un versetto a voce più alta, compose la faccia a tutta quella quiete e ilarità che poté, fece ogni sforzo per preparare un sorriso; quando si trovò a fronte dei due galantuomini, disse mentalmente: ci siamo; e si fermò su due piedi.	MIXED	0	1
1_52_52	«Signor curato,» disse un di que' due, piantandogli gli occhi in faccia.	NEGATIVE	0	1
1_53_53	«Cosa comanda?» rispose subito don Abbondio, alzando i suoi dal libro, che gli restò spalancato nelle mani, come sur un leggìo.	NEUTRAL	0	1
1_54_54	«Lei ha intenzione,» proseguì l'altro, con l'atto minaccioso e iracondo di chi coglie un suo inferiore sull'intraprendere una ribalderia, «lei ha intenzione di maritar domani Renzo Tramaglino e Lucia Mondella!»	NEGATIVE	0	1
1_55_55	«Cioè…» rispose, con voce tremolante, don Abbondio: «cioè.	NEGATIVE	0	1
1_56_56	Lor signori son uomini di mondo, e sanno benissimo come vanno queste faccende.	POSITIVE	0	1
1_57_57	Il povero curato non c'entra: fanno i loro pasticci tra loro, e poi… e poi, vengon da noi, come s'andrebbe a un banco a riscotere: e noi… noi siamo i servitori del comune.»	NEGATIVE	0	1
1_58_58	«Or bene,» gli disse il bravo, all'orecchio, ma in tono solenne di comando, «questo matrimonio non s'ha da fare, né domani, né mai.»	NEGATIVE	0	1
1_59_59	«Ma, signori miei,» replicò don Abbondio, con la voce mansueta e gentile di chi vuol persuadere un impaziente, «ma, signori miei, si degnino di mettersi ne' miei panni.	NEGATIVE	0	1
1_60_60	Se la cosa dipendesse da me,… vedon bene che a me non me ne vien nulla in tasca…»	NEGATIVE	0	1
1_61_61	«Orsù,» interruppe il bravo, «se la cosa avesse a decidersi a ciarle, lei ci metterebbe in sacco.	NEGATIVE	0	1
1_62_62	Noi non ne sappiamo, né vogliam saperne di più.	NEUTRAL	0	1
1_63_63	Uomo avvertito… lei c'intende.»	NEGATIVE	0	1
1_64_64	«Ma lor signori son troppo giusti, troppo ragionevoli…»	MIXED	0	1
1_65_65	«Ma,» interruppe questa volta l'altro compagnone, che non aveva parlato fin allora, «ma il matrimonio non si farà, o…» e qui una buona bestemmia, «o chi lo farà non se ne pentirà, perché non ne avrà tempo, e…» un'altra bestemmia.	NEGATIVE	0	1
1_66_66	«Zitto, zitto,» riprese il primo oratore, «il signor curato è un uomo che sa il viver del mondo; e noi siam galantuomini, che non vogliam fargli del male, purché abbia giudizio.	MIXED	1	1
1_67_67	Signor curato, l'illustrissimo signor don Rodrigo nostro padrone la riverisce caramente.»	POSITIVE	0	1
1_68_68	Questo nome fu, nella mente di don Abbondio, come, nel forte d'un temporale notturno, un lampo che illumina momentaneamente e in confuso gli oggetti, e accresce il terrore.	NEGATIVE	0	1
1_69_69	Fece, come per istinto, un grand'inchino, e disse: «se mi sapessero suggerire…»	MIXED	0	1
1_70_70	«Oh! suggerire a lei che sa di latino!» interruppe ancora il bravo, con un riso tra lo sguaiato e il feroce.	MIXED	0	1
1_71_71	«A lei tocca.	NEGATIVE	0	1
1_72_72	E sopra tutto, non si lasci uscir parola su questo avviso, che le abbiam dato per suo bene; altrimenti… ehm… sarebbe lo stesso che fare quel tal matrimonio.	NEGATIVE	0	1
1_73_73	Via, che vuol che si dica in suo nome all'illustrissimo signor don Rodrigo?»	POSITIVE	0	1
1_74_74	«Il mio rispetto…»	MIXED	0	1
1_75_75	«Si spieghi meglio!»	NEGATIVE	0	1
1_76_76	«…Disposto… disposto sempre all'ubbidienza.»	MIXED	0	1
1_77_77	E, proferendo queste parole, non sapeva nemmen lui se faceva una promessa, o un complimento.	MIXED	0	1
1_78_78	I bravi le presero, o mostraron di prenderle nel significato più serio.	NEUTRAL	0	1
1_79_79	«Benissimo, e buona notte, messere,» disse l'un d'essi, in atto di partir col compagno.	POSITIVE	0	1
1_80_80	Don Abbondio, che, pochi momenti prima, avrebbe dato un occhio per iscansarli, allora avrebbe voluto prolungar la conversazione e le trattative.	NEGATIVE	0	1
1_81_81	«Signori…» cominciò, chiudendo il libro con le due mani; ma quelli, senza più dargli udienza, presero la strada dond'era lui venuto, e s'allontanarono, cantando una canzonaccia che non voglio trascrivere.	NEGATIVE	0	1
1_82_82	Il povero don Abbondio rimase un momento a bocca aperta, come incantato; poi prese quella delle due stradette che conduceva a casa sua, mettendo innanzi a stento una gamba dopo l'altra, che parevano aggranchiate.	NEGATIVE	0	1
1_83_83	Come stesse di dentro, s'intenderà meglio, quando avrem detto qualche cosa del suo naturale, e de' tempi in cui gli era toccato di vivere.	NEUTRAL	0	1
1_84_84	Don Abbondio (il lettore se n'è già avveduto) non era nato con un cuor di leone.	NEGATIVE	0	1
1_85_85	Ma fin da' primi suoi anni, aveva dovuto comprendere che la peggior condizione, a que' tempi, era quella d'un animale senza artigli e senza zanne, e che pure non si sentisse inclinazione d'esser divorato.	NEGATIVE	0	1
1_86_86	La forza legale non proteggeva in alcun conto l'uomo tranquillo, inoffensivo, e che non avesse altri mezzi di far paura altrui.	NEGATIVE	0	1
1_87_87	Non già che mancassero leggi e pene contro le violenze private.	NEUTRAL	0	1
1_88_88	Le leggi anzi diluviavano; i delitti erano enumerati, e particolareggiati, con minuta prolissità; le pene, pazzamente esorbitanti e, se non basta, aumentabili, quasi per ogni caso, ad arbitrio del legislatore stesso e di cento esecutori; le procedure, studiate soltanto a liberare il giudice da ogni cosa che potesse essergli d'impedimento a proferire una condanna: gli squarci che abbiam riportati delle gride contro i bravi, ne sono un piccolo, ma fedel saggio.	NEGATIVE	0	1
1_89_89	Con tutto ciò, anzi in gran parte a cagion di ciò, quelle gride, ripubblicate e rinforzate di governo in governo, non servivano ad altro che ad attestare ampollosamente l'impotenza de' loro autori; o, se producevan qualche effetto immediato, era principalmente d'aggiunger molte vessazioni a quelle che i pacifici e i deboli già soffrivano da' perturbatori, e d'accrescer le violenze e l'astuzia di questi.	NEGATIVE	0	1
1_90_90	L'impunità era organizzata, e aveva radici che le gride non toccavano, o non potevano smovere.	NEGATIVE	0	1
1_91_91	Tali eran gli asili, tali i privilegi d'alcune classi, in parte riconosciuti dalla forza legale, in parte tollerati con astioso silenzio, o impugnati con vane proteste, ma sostenuti in fatto e difesi da quelle classi, con attività d'interesse, e con gelosia di puntiglio.	NEGATIVE	0	1
1_92_92	Ora, quest'impunità minacciata e insultata, ma non distrutta dalle gride, doveva naturalmente, a ogni minaccia, e a ogni insulto, adoperar nuovi sforzi e nuove invenzioni, per conservarsi.	NEGATIVE	0	1
1_93_93	Così accadeva in effetto; e, all'apparire delle gride dirette a comprimere i violenti, questi cercavano nella loro forza reale i nuovi mezzi più opportuni, per continuare a far ciò che le gride venivano a proibire.	NEGATIVE	0	1
1_94_94	Potevan ben esse inceppare a ogni passo, e molestare l'uomo bonario, che fosse senza forza propria e senza protezione; perché, col fine d'aver sotto la mano ogni uomo, per prevenire o per punire ogni delitto, assoggettavano ogni mossa del privato al volere arbitrario d'esecutori d'ogni genere.	NEGATIVE	0	1
1_95_95	Ma chi, prima di commettere il delitto, aveva prese le sue misure per ricoverarsi a tempo in un convento, in un palazzo, dove i birri non avrebber mai osato metter piede; chi, senz'altre precauzioni, portava una livrea che impegnasse a difenderlo la vanità e l'interesse d'una famiglia potente, di tutto un ceto, era libero nelle sue operazioni, e poteva ridersi di tutto quel fracasso delle gride.	MIXED	0	1
1_96_96	Di quegli stessi ch'eran deputati a farle eseguire, alcuni appartenevano per nascita alla parte privilegiata, alcuni ne dipendevano per clientela; gli uni e gli altri, per educazione, per interesse, per consuetudine, per imitazione, ne avevano abbracciate le massime, e si sarebbero ben guardati dall'offenderle, per amor d'un pezzo di carta attaccato sulle cantonate.	NEUTRAL	0	1
1_97_97	Gli uomini poi incaricati dell'esecuzione immediata, quando fossero stati intraprendenti come eroi, ubbidienti come monaci, e pronti a sacrificarsi come martiri, non avrebber però potuto venirne alla fine, inferiori com'eran di numero a quelli che si trattava di sottomettere, e con una gran probabilità d'essere abbandonati da chi, in astratto e, per così dire, in teoria, imponeva loro di operare.	NEGATIVE	0	1
1_98_98	Ma, oltre di ciò, costoro eran generalmente de' più abbietti e ribaldi soggetti del loro tempo; l'incarico loro era tenuto a vile anche da quelli che potevano averne terrore, e il loro titolo un improperio.	NEGATIVE	0	1
1_99_99	Era quindi ben naturale che costoro, in vece d'arrischiare, anzi di gettar la vita in un'impresa disperata, vendessero la loro inazione, o anche la loro connivenza ai potenti, e si riservassero a esercitare la loro esecrata autorità e la forza che pure avevano, in quelle occasioni dove non c'era pericolo; nell'opprimer cioè, e nel vessare gli uomini pacifici e senza difesa.	NEGATIVE	0	1
1_100_100	L'uomo che vuole offendere, o che teme, ogni momento, d'essere offeso, cerca naturalmente alleati e compagni.	NEGATIVE	0	1
1_101_101	Quindi era, in que' tempi, portata al massimo punto la tendenza degl'individui a tenersi collegati in classi, a formarne delle nuove, e a procurare ognuno la maggior potenza di quella a cui apparteneva.	NEUTRAL	0	1
1_102_102	Il clero vegliava a sostenere e ad estendere le sue immunità, la nobiltà i suoi privilegi, il militare le sue esenzioni.	NEUTRAL	0	1
1_103_103	I mercanti, gli artigiani erano arrolati in maestranze e in confraternite, i giurisperiti formavano una lega, i medici stessi una corporazione.	NEUTRAL	0	1
1_104_104	Ognuna di queste piccole oligarchie aveva una sua forza speciale e propria; in ognuna l'individuo trovava il vantaggio d'impiegar per sé, a proporzione della sua autorità e della sua destrezza, le forze riunite di molti.	POSITIVE	0	1
1_105_105	I più onesti si valevan di questo vantaggio a difesa soltanto; gli astuti e i facinorosi ne approfittavano, per condurre a termine ribalderie, alle quali i loro mezzi personali non sarebber bastati, e per assicurarsene l'impunità.	MIXED	0	1
1_106_106	Le forze però di queste varie leghe eran molto disuguali; e, nelle campagne principalmente, il nobile dovizioso e violento, con intorno uno stuolo di bravi, e una popolazione di contadini avvezzi, per tradizione famigliare, e interessati o forzati a riguardarsi quasi come sudditi e soldati del padrone, esercitava un potere, a cui difficilmente nessun'altra frazione di lega avrebbe ivi potuto resistere.	NEGATIVE	0	1
1_107_107	Il nostro Abbondio, non nobile, non ricco, coraggioso ancor meno, s'era dunque accorto, prima quasi di toccar gli anni della discrezione, d'essere, in quella società, come un vaso di terra cotta, costretto a viaggiare in compagnia di molti vasi di ferro.	NEGATIVE	0	1
1_108_108	Aveva quindi, assai di buon grado, ubbidito ai parenti, che lo vollero prete.	POSITIVE	0	1
1_109_109	Per dir la verità, non aveva gran fatto pensato agli obblighi e ai nobili fini del ministero al quale si dedicava: procacciarsi di che vivere con qualche agio, e mettersi in una classe riverita e forte, gli eran sembrate due ragioni più che sufficienti per una tale scelta.	MIXED	0	1
1_110_110	Ma una classe qualunque non protegge un individuo, non lo assicura, che fino a un certo segno: nessuna lo dispensa dal farsi un suo sistema particolare.	NEUTRAL	0	1
1_111_111	Don Abbondio, assorbito continuamente ne' pensieri della propria quiete, non si curava di que' vantaggi, per ottenere i quali facesse bisogno d'adoperarsi molto, o d'arrischiarsi un poco.	NEUTRAL	0	1
1_112_112	ll suo sistema consisteva principalmente nello scansar tutti i contrasti, e nel cedere, in quelli che non poteva scansare.	NEUTRAL	0	1
1_113_113	Neutralità disarmata in tutte le guerre che scoppiavano intorno a lui, dalle contese, allora frequentissime, tra il clero e le podestà laiche, tra il militare e il civile, tra nobili e nobili, fino alle questioni tra due contadini, nate da una parola, e decise coi pugni, o con le coltellate.	NEGATIVE	0	1
1_114_114	Se si trovava assolutamente costretto a prender parte tra due contendenti, stava col più forte, sempre però alla retroguardia, e procurando di far vedere all'altro ch'egli non gli era volontariamente nemico: pareva che gli dicesse: ma perché non avete saputo esser voi il più forte? ch'io mi sarei messo dalla vostra parte.	NEGATIVE	0	1
1_115_115	Stando alla larga da' prepotenti, dissimulando le loro soverchierie passeggiere e capricciose, corrispondendo con sommissioni a quelle che venissero da un'intenzione più seria e più meditata, costringendo, a forza d'inchini e di rispetto gioviale, anche i più burberi e sdegnosi, a fargli un sorriso, quando gl'incontrava per la strada, il pover'uomo era riuscito a passare i sessant'anni, senza gran burrasche.	MIXED	0	1
1_116_116	Non è però che non avesse anche lui il suo po' di fiele in corpo; e quel continuo esercitar la pazienza, quel dar così spesso ragione agli altri, que' tanti bocconi amari inghiottiti in silenzio, glielo avevano esacerbato a segno che, se non avesse, di tanto in tanto, potuto dargli un po' di sfogo, la sua salute n'avrebbe certamente sofferto.	NEGATIVE	0	1
